ID,Categoria,Presenciou_Acidente,Frequencia_Acidentes,Principal_Causa,Conhece_IA,Experiencia_com_IA,IA_Pode_Reduzir_Acidentes,Apoia_Modernizacao_Transito,Sugestao_Modernizacao
1,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
2,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Mais agentes de trânsito nas ruas
3,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
4,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca ouvi falar antes,Sim,Sim,Instalar câmeras de vigilância
5,Motorista,Não,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
6,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Criar faixas de pedestres
7,Mototaxista,Sim,Muito frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Não,
8,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Não,Sim,Mais agentes de trânsito nas ruas
9,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Educação para o trânsito nas escolas
10,Mototaxista,Sim,Raro,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Mais agentes de trânsito nas ruas
11,Motorista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
12,Peão,Sim,Muito frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Usar tecnologia de IA no trânsito
13,Peão,Não,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
14,Mototaxista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
15,Motorista,Sim,Frequente,Consumo de álcool,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Fiscalização mais rigorosa
16,Motorista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
17,Peão,Não,Muito frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Fiscalização mais rigorosa
18,Peão,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Educação para o trânsito nas escolas
19,Motorista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
20,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Instalar câmeras de vigilância
21,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Não,Sim,Usar tecnologia de IA no trânsito
22,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Instalar câmeras de vigilância
23,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Fiscalização mais rigorosa
24,Mototaxista,Não,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
25,Motorista,Não,Raro,Consumo de álcool,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Criar faixas de pedestres
26,Mototaxista,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
27,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Aumentar a iluminação pública
28,Mototaxista,Sim,Raro,Condução imprudente,Sim,Nunca usei IA,Sim,Sim,Melhorar a sinalização nas estradas
29,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Criar faixas de pedestres
30,Peão,Sim,Frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Aumentar a iluminação pública
31,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Aumentar a iluminação pública
32,Peão,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Não,
33,Motorista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Melhorar a sinalização nas estradas
34,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca ouvi falar antes,Sim,Sim,Implementar semáforos inteligentes
35,Mototaxista,Não,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
36,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Fiscalização mais rigorosa
37,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Não,Sim,Instalar câmeras de vigilância
